brand,category,cpu,ram,ram_type,storage,ssd,ssd_size,graphics_card,graphics_card_size,size_inch,os,battery_wh,weight_kg,price
Asus,Home,Ryzen 7,8,DDR3,512GB,Yes,256GB,AMD,2GB,13.0,Windows 11,45,1.4,87905
HP,Gaming,Ryzen 7,16,DDR3,1TB,Yes,256GB,Nvidia,4GB,16.0,Windows 11,55,1.6,130273
Dell,Student,Intel i3,4,DDR4,1TB,Yes,1TB,Nvidia,8GB,13.0,Windows 10,60,1.2,91522
Acer,Student,Ryzen 5,4,DDR5,256GB,Yes,1TB,Nvidia,4GB,13.0,Windows 10,60,1.6,78714
MSI,Gaming,Intel i7,12,DDR3,256GB,Yes,512GB,AMD,4GB,14.0,Windows 11,60,1.8,107211
Dell,Student,Intel i3,12,DDR3,2TB,Yes,512GB,Nvidia,6GB,14.0,Windows 10,80,1.8,107241
Apple,Gaming,Apple M2,8,Unified,512GB,Yes,1TB,Nvidia,8GB,16.0,macOS,55,1.4,179133
Apple,Home,Apple M1,4,Unified,512GB,Yes,2TB,AMD,8GB,16.0,macOS,70,1.8,140334
Acer,Home,Ryzen 7,24,DDR5,1TB,Yes,1TB,Integrated,,16.0,Windows 10,50,1.8,103026
Acer,Gaming,Ryzen 5,12,DDR5,512GB,Yes,512GB,AMD,2GB,15.6,Windows 10,60,1.2,97916
MSI,Student,Intel i5,24,DDR3,256GB,Yes,2TB,Nvidia,4GB,14.0,Windows 10,80,1.8,108503
Lenovo,Student,Ryzen 5,24,DDR3,512GB,Yes,2TB,Nvidia,6GB,16.0,Windows 11,70,1.8,113991
Dell,Gaming,Intel i3,24,DDR3,512GB,Yes,256GB,Integrated,,13.0,Windows 11,50,1.2,93257
MSI,Home,Ryzen 5,16,DDR4,512GB,Yes,2TB,Integrated,,16.0,Windows 10,60,1.4,74772
Asus,Business,Intel i7,16,DDR4,256GB,Yes,256GB,Integrated,,15.6,Windows 11,45,1.4,87569
Dell,Business,Intel i5,12,DDR3,2TB,Yes,256GB,Integrated,,13.0,Windows 11,45,2.3,95428
HP,Home,Intel i5,16,DDR4,2TB,Yes,2TB,Nvidia,4GB,16.0,Windows 10,45,1.8,115172
Apple,Student,Apple M2,24,Unified,2TB,Yes,1TB,Integrated,,13.0,macOS,70,2.3,176441
HP,Student,Intel i3,16,DDR5,512GB,Yes,256GB,Nvidia,2GB,13.0,Windows 10,80,2.6,87926
Samsung,Home,Ryzen 5,24,DDR5,256GB,Yes,2TB,AMD,6GB,15.6,Windows 10,50,2.3,108867
MSI,Gaming,Intel i7,12,DDR3,2TB,Yes,256GB,Integrated,,13.0,Windows 11,45,2.0,110746
Acer,Gaming,Intel i7,12,DDR3,1TB,Yes,1TB,AMD,2GB,15.6,Windows 10,80,1.2,114100
Acer,Home,Intel i3,12,DDR4,512GB,Yes,512GB,AMD,6GB,16.0,Windows 10,55,2.6,81416
Asus,Business,Intel i7,12,DDR3,512GB,Yes,1TB,Integrated,,16.0,Windows 10,70,2.3,87503
HP,Home,Intel i3,4,DDR5,1TB,Yes,512GB,Integrated,,13.0,Windows 10,55,1.6,55326
MSI,Gaming,Ryzen 7,4,DDR5,1TB,Yes,2TB,Nvidia,4GB,14.0,Windows 10,50,2.6,112450
Samsung,Home,Intel i5,8,DDR4,1TB,Yes,256GB,Integrated,,13.0,Windows 11,60,1.4,69634
Apple,Student,Apple M2,8,Unified,512GB,Yes,512GB,Integrated,,15.6,macOS,45,2.6,133286
MSI,Business,Ryzen 7,4,DDR3,1TB,Yes,1TB,Integrated,,16.0,Windows 11,55,2.3,82569
Samsung,Home,Ryzen 3,4,DDR4,2TB,Yes,512GB,Integrated,,13.0,Windows 10,80,1.6,71104
MSI,Home,Ryzen 7,12,DDR5,2TB,Yes,1TB,AMD,4GB,16.0,Windows 11,80,1.8,117548
Lenovo,Student,Ryzen 3,12,DDR4,512GB,Yes,1TB,AMD,8GB,14.0,Windows 10,70,1.8,88390
Asus,Student,Ryzen 5,8,DDR3,1TB,Yes,512GB,Integrated,,13.0,Windows 11,50,1.8,74007
Asus,Business,Ryzen 3,16,DDR5,2TB,Yes,512GB,AMD,2GB,13.0,Windows 10,60,1.4,106440
Apple,Home,Apple M1,4,Unified,2TB,Yes,2TB,AMD,6GB,16.0,macOS,70,2.6,153892
Samsung,Business,Intel i5,12,DDR4,512GB,Yes,1TB,Nvidia,8GB,14.0,Windows 11,55,1.8,106634
Acer,Gaming,Intel i7,24,DDR4,256GB,Yes,512GB,Integrated,,14.0,Windows 11,80,1.4,106526
Samsung,Business,Intel i7,4,DDR4,512GB,Yes,2TB,Nvidia,2GB,16.0,Windows 11,60,1.2,94881
Acer,Business,Ryzen 3,8,DDR4,1TB,Yes,256GB,Integrated,,16.0,Windows 10,80,1.4,72828
Lenovo,Home,Ryzen 3,16,DDR3,512GB,Yes,512GB,Integrated,,16.0,Windows 10,55,1.4,70724
